# Gaia DR3 passband G (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.G
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
9840.0000,4.04491284e-02
9850.0000,3.93175265e-02
9860.0000,3.81228672e-02
9870.0000,3.70017155e-02
9880.0000,3.58892120e-02
9890.0000,3.48694504e-02
9900.0000,3.38677803e-02
9910.0000,3.28545025e-02
9920.0000,3.18635224e-02
9930.0000,3.08505958e-02
9940.0000,2.98422262e-02
9950.0000,2.88698314e-02
9960.0000,2.79096167e-02
9970.0000,2.70155912e-02
9980.0000,2.61826380e-02
9990.0000,2.53761189e-02
10000.0000,2.45381883e-02
10010.0000,2.36901917e-02
10020.0000,2.28654041e-02
10030.0000,2.20616877e-02
10040.0000,2.12750382e-02
10050.0000,2.05393730e-02
10060.0000,1.98252817e-02
10070.0000,1.91392465e-02
10080.0000,1.84634887e-02
10090.0000,1.77940347e-02
10100.0000,1.71045299e-02
10110.0000,1.64408885e-02
10120.0000,1.57992794e-02
10130.0000,1.51890084e-02
10140.0000,1.46000832e-02
10150.0000,1.40438991e-02
10160.0000,1.35152060e-02
10170.0000,1.29890078e-02
10180.0000,1.24326267e-02
10190.0000,1.19180270e-02
10200.0000,1.13958923e-02
10210.0000,1.09115390e-02
10220.0000,1.04521107e-02
10230.0000,1.00129018e-02
10240.0000,9.59084092e-03
10250.0000,9.19348122e-03
10260.0000,8.79047352e-03
10270.0000,8.38172296e-03
10280.0000,7.98808843e-03
10290.0000,7.61580777e-03
10300.0000,7.25157056e-03
10310.0000,6.91641033e-03
10320.0000,6.59050148e-03
10330.0000,6.28198777e-03
10340.0000,5.97895856e-03
10350.0000,5.68605069e-03
10360.0000,5.40603194e-03
10370.0000,5.12860149e-03
10380.0000,4.86306725e-03
10390.0000,4.60737466e-03
10400.0000,4.36700622e-03
10410.0000,4.13684231e-03
10420.0000,3.91409777e-03
10430.0000,3.70426533e-03
10440.0000,3.49768928e-03
10450.0000,3.29787242e-03
10460.0000,3.10114462e-03
10470.0000,2.91166362e-03
10480.0000,2.73715363e-03
10490.0000,2.57163006e-03
10500.0000,2.41251048e-03
